,Title,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,URI
59,Purgatory Afterglow,Edge of Sanity,0.1664,0.90430003,4.4,-5.352,0.9,0.079229996,2.9781999e-05,0.09773764,0.38101,0.23892,121.111496,266605.4,3.7,spotify:album:0drU2kimcYHQlHA4mMvbV2
60,Another Side of Bob Dylan,Bob Dylan,0.51790905,0.42590907,5.2727275,-8.189091,1.0,0.03908182,0.73963636,3.1e-05,0.10765455,0.4613636,133.917,277296.9,3.7272727,spotify:album:3q1W9iVdyuwVOGKn696Oh0
61,Canción animal,Soda Stereo,0.5533,0.6922,4.1,-7.9349,0.9,0.028189998,0.0475629,0.117091514,0.23381,0.57850003,109.97261,248320.0,3.6,spotify:album:3GoSlKTNcVOp1ZxE5OOXeN
62,Berry Is on Top,Chuck Berry,0.63600004,0.6145833,3.0833333,-11.28075,0.8333333,0.07630833,0.7909167,0.016699525,0.2081,0.8413333,118.61466,152596.67,4.0,spotify:album:6eedtCtCjibu80yOhylSGL
63,The Fantastic Expedition of Dillard & Clark,Dillard & Clark,0.48966667,0.38677776,6.5555553,-14.015333,0.7777778,0.035633333,0.38105556,0.0063440623,0.2361111,0.5994444,111.01511,188404.56,3.8888888,spotify:album:6SaetmQc4GCTzdZuW7khKx
64,Liminal Space,Ill Considered,0.39440003,0.7828,6.8,-7.5590005,0.3,0.057140004,0.050773222,0.8632,0.14149001,0.41309,123.45329,365394.7,3.3,spotify:album:3i62521pVAxy4LG7dQOSYQ
65,In Their Darkened Shrines,Nile,0.28075,0.907,6.4166665,-6.686917,0.6666667,0.15451668,0.006138042,0.8159167,0.17409165,0.076066665,116.917336,293635.66,3.8333333,spotify:album:1pM1w8zCLQ93j9JE0bvhZB
66,Nova,Steve Reid featuring The Legendary Master Brotherhood,0.38639998,0.5308,5.0,-12.376599,0.6,0.0645,0.016317679,0.48439997,0.14678,0.4762,122.01161,378512.0,3.8,spotify:album:5Q7Mxb46sloqTXEggeBzQQ
67,The Dusk in Us,Converge,0.2753077,0.86861527,2.9230769,-5.145,0.9230769,0.07876154,0.0005508561,0.86846155,0.3134615,0.23861536,117.086685,203113.23,3.6923077,spotify:album:23cl7dningjCbwiNpOyFMP
68,Chill Out,The KLF,0.6428421,0.5919474,5.3157897,-8.766,0.42105263,0.054021057,0.2824515,0.0969914,0.18081053,0.37898946,128.59436,267749.3,4.0,spotify:album:0wgejBvzezpUFeT2poozr4
