,Title,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,URI
36,La mosca y la sopa,Patricio Rey y sus Redonditos de Ricota,0.53119993,0.80060005,7.9,-6.7371,0.4,0.044859998,0.0161299,0.0044814004,0.23534003,0.7099,134.0148,232835.9,4.0,spotify:album:0IcpyzTrT0Gp8PVMC9l0NS
37,Deluxe,Harmonia,0.62640005,0.80952,6.4,-8.110359,0.52,0.051676,0.012614868,0.79987997,0.14338401,0.353128,132.39912,454385.53,3.96,spotify:album:7lrNfxBCYeqkZoycEODjPW
38,Doopee Time,Doopees,0.49484998,0.44971004,5.5,-11.996149,0.7,0.127185,0.568505,0.15077463,0.21059498,0.33530998,114.342,221199.9,3.65,spotify:album:4ZrrsbXBe0byye7R0Spx1x
39,Danzig III: How the Gods Kill,Danzig,0.3933,0.78339994,6.3,-8.5211,0.5,0.08529999,0.0062937,0.0800989,0.21658,0.19011,126.19979,293937.4,4.0,spotify:album:5FRzKiBPlUkfULxupLXK53
40,Nosferatu,Helstar,0.3202727,0.6800182,6.0,-14.391091,0.45454547,0.06598182,0.075649545,0.21688749,0.15657273,0.36612722,117.21582,233715.1,3.909091,spotify:album:4aLuW8mu9Ivic6cdWFBlQ2
41,"March 16–20, 1992",Uncle Tupelo,0.5001429,0.31350476,4.1904764,-14.786762,0.8095238,0.037333336,0.5737619,0.14912379,0.18104286,0.4505381,114.78644,178351.72,3.9047618,spotify:album:3ezxoWuFQIiCr2xugKs3Lp
42,Electric Bath,The Don Ellis Orchestra,0.49442858,0.5162857,5.571429,-11.032,0.85714287,0.07405715,0.45000002,0.17026901,0.14762858,0.44387144,136.40242,435053.28,2.857143,spotify:album:1AUQYgnYlRaNMVKrU3NIgW
43,Reach Out,Four Tops,0.59491664,0.6585,3.25,-8.771834,0.8333333,0.032283332,0.21201666,7.326667e-06,0.3215833,0.744,112.74359,163554.33,4.0,spotify:album:4Jw0RycAqlXeAoymbc0CYp
44,The Human Menagerie,Cockney Rebel,0.46235713,0.48032144,4.357143,-12.478429,0.71428573,0.04104286,0.25983286,0.007924428,0.13784286,0.6659285,141.17273,249326.72,3.7857144,spotify:album:2dQ3M0lHLraMpIjcNMKzk5
45,Timeless,John Abercrombie,0.32216668,0.27456668,5.5,-19.02,0.5,0.04868333,0.56638336,0.58335,0.11485001,0.27063334,128.68132,434399.84,3.6666667,spotify:album:0nI82CyOhfSVAlElZlAUXW
46,The Yellow Shark,Zappa & Ensemble ModernFrank ZappaEnsemble Modern,0.394,0.43322107,5.894737,-15.532788,0.5263158,0.20208949,0.8572106,0.5064228,0.54614735,0.18602104,106.57174,227384.53,3.5789473,spotify:album:7sZEHobWVNVWwvBYycTP1z
47,Dread Beat an' Blood,Poet and the Roots,0.78610003,0.3921,5.0,-17.25,0.7,0.22545,0.077798,0.2237351,0.11507,0.69119996,116.3645,238640.0,4.0,spotify:album:2C9YDg1G8rWpdttTNj3ObI
48,Continuo,Avishai Cohen,0.35029998,0.46660003,5.4,-12.284601,0.2,0.03559,0.83280003,0.90970004,0.10852001,0.39889997,108.6309,303326.6,3.9,spotify:album:7sCU0pZZix0KirptfjERbL
49,Los delirios del Mariscal,Crucis,0.3435,0.5935,4.25,-9.5130005,0.5,0.041925,0.01261,0.26535624,0.3413,0.4785,136.10374,515980.0,4.0,spotify:album:1IQKV1zaM2GihjCXjZTdeJ
50,Bullitt,Lalo Schifrin,0.52138895,0.49402222,5.111111,-10.133278,0.6111111,0.056049995,0.3496411,0.7617166,0.13333334,0.4431111,110.56406,185848.17,3.8888888,spotify:album:05ALFsmsEf0322hTZ0AmSU
51,Szobel,Hermann Szobel,0.3898,0.64419997,5.0,-12.5718,1.0,0.061399996,0.6664001,0.5664,0.17064,0.3254,133.6326,444133.4,4.0,spotify:album:2VUcwcNH6YbFCPfntYcYdG
52,Suicide,Stray,0.42066666,0.74388885,5.4444447,-6.9504447,0.33333334,0.07864445,0.38169998,0.22161992,0.25956666,0.46755558,132.10211,260222.33,3.8888888,spotify:album:5nJ62pDgrEPnDvVIcdCy9A
53,New Thing at Newport,John Coltrane / Archie Shepp,0.495,0.31856665,4.8333335,-14.147167,0.8333333,0.23181666,0.6401667,0.0044324496,0.5308333,0.44466665,105.852,366191.0,4.1666665,spotify:album:1VJbvBFnEr2uAV3SJkMO7d
54,If You Saw Thro' My Eyes,Ian Matthews,0.51675004,0.29977915,6.5,-14.332417,0.6666667,0.041058335,0.5672417,0.08152144,0.14572501,0.48391673,121.506004,192944.42,4.0833335,spotify:album:2mXmS3vrChyIv65jnbZEMa
55,Origin of Symmetry,Muse,0.3095,0.7218333,4.0,-7.3420835,0.5833333,0.051158328,0.09208343,0.2633172,0.15285833,0.23045833,129.55641,275547.0,3.9166667,spotify:album:1AP6uGYHdakRgwuWQsP5pK
